fips,date,PRECTOT,PS,QV2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,score
55111,2000-05-29,0.03,98.1,7.94,14.08,10.11,10.11,19.15,7.2,11.96,14.23,2.66,4.89,0.2,4.7,3.88,8.25,0.26,7.99,
19051,2001-09-09,6.62,98.71,8.14,16.55,10.67,10.67,22.04,12.57,9.47,16.92,3.87,6.0,2.29,3.71,5.68,7.49,4.28,3.21,
55027,2002-10-22,0.29,99.23,3.89,2.83,0.14,0.15,8.46,-1.54,10.0,3.6,4.98,6.03,4.16,1.88,6.3,8.03,5.03,3.0,0.0
38095,2000-06-21,3.88,94.35,8.76,16.47,11.13,11.13,21.5,12.57,8.93,16.57,10.46,13.31,4.14,9.18,14.3,17.16,8.36,8.79,
13227,2014-04-20,0.0,97.66,7.16,13.7,8.53,8.53,22.03,6.7,15.33,13.69,2.24,3.58,1.45,2.13,4.54,6.02,2.16,3.86,
12075,2001-12-10,2.97,101.46,14.44,21.52,19.97,19.97,24.9,19.51,5.38,21.24,2.57,3.59,1.56,2.02,3.98,5.65,2.7,2.96,
42039,2016-11-24,3.43,98.01,5.25,4.78,4.06,4.06,7.58,2.38,5.21,5.31,2.92,3.49,2.2,1.29,4.78,5.39,4.01,1.39,
6083,2003-05-10,0.0,97.86,5.94,12.5,5.65,5.67,18.4,6.67,11.73,13.34,4.72,6.31,3.28,3.03,6.0,7.55,3.82,3.73,
1087,2009-08-07,0.09,100.29,15.51,27.66,20.9,20.9,34.98,20.29,14.69,27.34,1.15,1.71,0.59,1.12,2.32,4.01,0.94,3.07,
51830,2012-01-26,0.15,101.51,6.78,9.17,8.04,8.04,15.27,3.06,12.21,8.88,2.57,3.99,1.48,2.51,4.61,7.48,1.95,5.54,
